<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
1,Industry-Specific AI Applications,Healthcare,Clinical decision support,"Deploy an AI capability for clinical decision support in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Great Expectations, Ray, Seldon, Trino, Qdrant","Palantir, Scale AI, Elastic, Databricks, Cohere"
2,Industry-Specific AI Applications,Healthcare,Medical imaging & diagnostics,"Deploy an AI capability for medical imaging & diagnostics in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"dbt, Weaviate, Milvus, KServe, PostgreSQL","Cohere, OpenAI, Palantir, NVIDIA, Anthropic"
3,Industry-Specific AI Applications,Healthcare,Patient engagement & triage,"Deploy an AI capability for patient engagement & triage in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Ray, dbt, Argo Workflows, Prometheus, KServe","Microsoft Azure, MongoDB Atlas, SAP, Palantir, Pinecone"
4,Industry-Specific AI Applications,Healthcare,Revenue cycle & coding,"Deploy an AI capability for revenue cycle & coding in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"PostgreSQL, PyTorch, Feast, Weaviate, Hugging Face Transformers","Microsoft Azure, Databricks, Snowflake, MongoDB Atlas, AWS"
5,Industry-Specific AI Applications,Healthcare,Care operations & staffing,"Deploy an AI capability for care operations & staffing in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Haystack, Qdrant, Kafka, Feast, Airflow","Scale AI, Snowflake, Pinecone, NVIDIA, DataRobot"
6,Industry-Specific AI Applications,Healthcare,Pharmacovigilance & safety,"Deploy an AI capability for pharmacovigilance & safety in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenTelemetry, Hugging Face Transformers, Qdrant, KServe, LlamaIndex","Oracle, UiPath, Google Cloud, Cloudflare, IBM watsonx"
7,Industry-Specific AI Applications,Healthcare,Clinical trials & R&D,"Deploy an AI capability for clinical trials & r&d in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Trino, LangChain, Weaviate, Rasa, PyTorch","Google Cloud, Elastic, Zendesk, OpenAI, SAP"
8,Industry-Specific AI Applications,Healthcare,Population health analytics,"Deploy an AI capability for population health analytics in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, Rasa, OpenCV, Hugging Face Transformers, ONNX","AWS, Confluent, Databricks, Microsoft Azure, DataRobot"
9,Industry-Specific AI Applications,Healthcare,Hospital cybersecurity AI,"Deploy an AI capability for hospital cybersecurity ai in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Prometheus, OpenCV, FAISS, Hugging Face Transformers, Kafka","Pinecone, Databricks, Zendesk, Confluent, IBM watsonx"
10,Industry-Specific AI Applications,Healthcare,Medical device intelligence,"Deploy an AI capability for medical device intelligence in healthcare workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, Rasa, Haystack, PyTorch, ONNX","Oracle, Zendesk, OpenAI, Anthropic, Snowflake"
11,Industry-Specific AI Applications,Financial Services,Fraud detection,"Deploy an AI capability for fraud detection in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Prometheus, scikit-learn, PyTorch, TensorFlow, Qdrant","DataRobot, Cohere, Confluent, UiPath, Databricks"
12,Industry-Specific AI Applications,Financial Services,Credit scoring & underwriting,"Deploy an AI capability for credit scoring & underwriting in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, Airflow, Grafana, Trino, MLflow","Oracle, Pinecone, SAP, OpenAI, Databricks"
13,Industry-Specific AI Applications,Financial Services,AML & sanctions screening,"Deploy an AI capability for aml & sanctions screening in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"PyTorch, LlamaIndex, Great Expectations, dbt, Kafka","NVIDIA, AWS, Databricks, Cohere, SAP"
14,Industry-Specific AI Applications,Financial Services,Customer service & advisory,"Deploy an AI capability for customer service & advisory in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"TensorFlow, MLflow, Airflow, Qdrant, LlamaIndex","AWS, Zendesk, MongoDB Atlas, Salesforce, NVIDIA"
15,Industry-Specific AI Applications,Financial Services,Risk & stress testing,"Deploy an AI capability for risk & stress testing in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, Airflow, Kafka, KServe, LangChain","AWS, MongoDB Atlas, ServiceNow, Palantir, Anthropic"
16,Industry-Specific AI Applications,Financial Services,Trading & market intelligence,"Deploy an AI capability for trading & market intelligence in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Feast, Kafka, MLflow, Great Expectations, OpenCV","Cohere, Pinecone, Anthropic, NVIDIA, Snowflake"
17,Industry-Specific AI Applications,Financial Services,Collections & delinquency,"Deploy an AI capability for collections & delinquency in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Airflow, Kubeflow, KServe, ONNX","UiPath, Databricks, Confluent, SAP, DataRobot"
18,Industry-Specific AI Applications,Financial Services,Insurance claims automation,"Deploy an AI capability for insurance claims automation in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, TensorFlow, scikit-learn, Weaviate, ONNX","IBM watsonx, Snowflake, Twilio, Cloudflare, SAP"
19,Industry-Specific AI Applications,Financial Services,Regulatory reporting,"Deploy an AI capability for regulatory reporting in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"FAISS, Feast, Argo Workflows, PostgreSQL, Milvus","NVIDIA, Scale AI, Cohere, Twilio, Google Cloud"
20,Industry-Specific AI Applications,Financial Services,Identity verification (KYC),"Deploy an AI capability for identity verification (kyc) in financial services workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LangChain, Milvus, Ray, KServe, Great Expectations","MongoDB Atlas, Google Cloud, IBM watsonx, Databricks, Twilio"
21,Industry-Specific AI Applications,Retail & eCommerce,Personalized recommendations,"Deploy an AI capability for personalized recommendations in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, LlamaIndex, FAISS, Qdrant, LangChain","Microsoft Azure, Cohere, NVIDIA, ServiceNow, Scale AI"
22,Industry-Specific AI Applications,Retail & eCommerce,Search & merchandising,"Deploy an AI capability for search & merchandising in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, spaCy, MLflow, Argo Workflows, Qdrant","Salesforce, Confluent, Twilio, Cloudflare, Scale AI"
23,Industry-Specific AI Applications,Retail & eCommerce,Dynamic pricing,"Deploy an AI capability for dynamic pricing in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kafka, TensorFlow, Seldon, PyTorch, Milvus","ServiceNow, Cloudflare, NVIDIA, Microsoft Azure, AWS"
24,Industry-Specific AI Applications,Retail & eCommerce,Demand forecasting,"Deploy an AI capability for demand forecasting in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Milvus, Hugging Face Transformers, Grafana, Rasa, Haystack","Anthropic, Google Cloud, Palantir, UiPath, ServiceNow"
25,Industry-Specific AI Applications,Retail & eCommerce,Inventory optimization,"Deploy an AI capability for inventory optimization in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Argo Workflows, Seldon, Grafana, Prometheus, MLflow","Salesforce, ServiceNow, Google Cloud, Confluent, DataRobot"
26,Industry-Specific AI Applications,Retail & eCommerce,Returns & fraud prevention,"Deploy an AI capability for returns & fraud prevention in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, FAISS, ONNX, dbt, PyTorch","DataRobot, Elastic, AWS, MongoDB Atlas, Confluent"
27,Industry-Specific AI Applications,Retail & eCommerce,Customer support automation,"Deploy an AI capability for customer support automation in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"OpenCV, Kafka, PyTorch, PostgreSQL, Hugging Face Transformers","Google Cloud, Pinecone, OpenAI, IBM watsonx, Oracle"
28,Industry-Specific AI Applications,Retail & eCommerce,Store analytics (video/IoT),"Deploy an AI capability for store analytics (video/iot) in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"OpenCV, Seldon, Grafana, Prometheus, Kafka","Palantir, UiPath, Google Cloud, Scale AI, Zendesk"
29,Industry-Specific AI Applications,Retail & eCommerce,Marketing creative generation,"Deploy an AI capability for marketing creative generation in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Rasa, PostgreSQL, Hugging Face Transformers, Milvus, PyTorch","Snowflake, Cloudflare, OpenAI, DataRobot, Zendesk"
30,Industry-Specific AI Applications,Retail & eCommerce,Supplier performance analytics,"Deploy an AI capability for supplier performance analytics in retail & ecommerce workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"LlamaIndex, Argo Workflows, PyTorch, spaCy, Rasa","Anthropic, Confluent, MongoDB Atlas, Databricks, Scale AI"
31,Industry-Specific AI Applications,Manufacturing,Predictive maintenance,"Deploy an AI capability for predictive maintenance in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Trino, Argo Workflows, Haystack, OpenTelemetry, Seldon","Palantir, DataRobot, Snowflake, Salesforce, SAP"
32,Industry-Specific AI Applications,Manufacturing,Quality inspection (vision),"Deploy an AI capability for quality inspection (vision) in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Airflow, KServe, FAISS, dbt, Trino","Databricks, SAP, Snowflake, Elastic, Salesforce"
33,Industry-Specific AI Applications,Manufacturing,Production scheduling,"Deploy an AI capability for production scheduling in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"MLflow, Milvus, spaCy, Feast, Argo Workflows","Microsoft Azure, Cloudflare, Google Cloud, IBM watsonx, Cohere"
34,Industry-Specific AI Applications,Manufacturing,Process optimization,"Deploy an AI capability for process optimization in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Qdrant, Milvus, LlamaIndex, Seldon, Airflow","Oracle, SAP, Pinecone, Scale AI, DataRobot"
35,Industry-Specific AI Applications,Manufacturing,Supply chain risk sensing,"Deploy an AI capability for supply chain risk sensing in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Prometheus, Feast, PostgreSQL, Qdrant, Haystack","Google Cloud, Microsoft Azure, IBM watsonx, MongoDB Atlas, Confluent"
36,Industry-Specific AI Applications,Manufacturing,Worker safety analytics,"Deploy an AI capability for worker safety analytics in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kafka, spaCy, Rasa, KServe, dbt","Elastic, AWS, Pinecone, Anthropic, SAP"
37,Industry-Specific AI Applications,Manufacturing,Digital twin optimization,"Deploy an AI capability for digital twin optimization in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Airflow, PyTorch, Trino, Feast, LlamaIndex","Snowflake, Zendesk, Anthropic, Microsoft Azure, Pinecone"
38,Industry-Specific AI Applications,Manufacturing,Energy usage optimization,"Deploy an AI capability for energy usage optimization in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Qdrant, scikit-learn, KServe, Ray, dbt","ServiceNow, Google Cloud, Confluent, Databricks, DataRobot"
39,Industry-Specific AI Applications,Manufacturing,Spare parts forecasting,"Deploy an AI capability for spare parts forecasting in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, Prometheus, PyTorch, Trino, Milvus","UiPath, Cloudflare, Microsoft Azure, Cohere, Snowflake"
40,Industry-Specific AI Applications,Manufacturing,Industrial document intelligence,"Deploy an AI capability for industrial document intelligence in manufacturing workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Trino, spaCy, Ray, Prometheus, ONNX","Scale AI, MongoDB Atlas, Zendesk, Cohere, SAP"
